;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
2;CZ;103531;Vinyl matt light    1 l;;Akzo Nobel Coatings CZ,as;5200580;8590627995381;;;;;;;;1;;1;;;;;
3;CZ;103532;Vinyl matt medium    1 l;;Akzo Nobel Coatings CZ,as;5200585;8590627995336;;;;;;;;;;;;;;;
4;CZ;103533;Vinyl matt ex.deep    1 l;;Akzo Nobel Coatings CZ,as;5200589;8590627995299;;;;;;;;;;;;;;;
5;CZ;103534;Vinyl matt light    2,5 l;;Akzo Nobel Coatings CZ,as;5200581;8590627995374;;;;;;;;;;;;;;;
6;CZ;103535;Vinyl matt medium   2,5 l;;Akzo Nobel Coatings CZ,as;5200586;8590627995329;;;;;;;;;;;;;;;
7;CZ;103536;Vinyl matt ex.deep    2,5 l;;Akzo Nobel Coatings CZ,as;5200590;8590627995282;;;;;;;;;;;;;;;
8;CZ;103537;Vinyl matt light    5 l;;Akzo Nobel Coatings CZ,as;5200582;8590627995367;;;;;;;;;;;;;;;
9;CZ;103538;Vinyl matt medium    5 l;;Akzo Nobel Coatings CZ,as;5200587;8590627995312;;;;;;;;;;;;;;;
10;CZ;103539;Vinyl matt ex.deep    5 l;;Akzo Nobel Coatings CZ,as;5200591;8590627995275;;;;;;;;;;;;;;;
11;CZ;103540;Vinyl matt PBW   10 l;;Akzo Nobel Coatings CZ,as;5149187;5010212561195;;;;;;;;;;;;;;;
12;CZ;103541;Classic Select Woodstain  1 l;;Akzo Nobel Coatings CZ,as;5203841;8590627994681;;;;;;;;;;;;;;;
13;CZ;103542;Classic Select Woodstain  2,5 l;;Akzo Nobel Coatings CZ,as;5203842;8590627994674;;;;;;;;;;;;;;;
14;CZ;103543;Classic Select Woodstain  4,5 l;;Akzo Nobel Coatings CZ,as;5203843;8590627994667;;;;;;;;;;;;;;;
15;CZ;103544;Protective Woodsheen   1 l;;Akzo Nobel Coatings CZ,as;5203844;8590627994650;;;;;;;;;;;;;;;
16;CZ;103545;Protective Woodsheen   2,5 l;;Akzo Nobel Coatings CZ,as;5203845;8590627994643;;;;;;;;;;;;;;;
17;CZ;103546;Protective Woodsheen   4,5 l;;Akzo Nobel Coatings CZ,as;5203846;8590627994636;;;;;;;;;;;;;;;
18;CZ;103551;Weather  Shield Plus light  2,5 l;;Akzo Nobel Coatings CZ,as;5200529;8590627995893;;;;;;;;;;;;;;;
19;CZ;103552;Weather  Shield Plus medium  2,5 l;;Akzo Nobel Coatings CZ,as;5200563;8590627995855;;;;;;;;;;;;;;;
20;CZ;103553;Weather  Shield Plus ex.deep  2,5 l;;Akzo Nobel Coatings CZ,as;5200632;8590627995824;;;;;;;;;;;;;;;
21;CZ;103554;Weather  Shield Plus light  5 l;;Akzo Nobel Coatings CZ,as;5200560;8590627995886;;;;;;;;;;;;;;;
22;CZ;103555;Weather  Shield Plus medium  5 l;;Akzo Nobel Coatings CZ,as;5200564;8590627995848;;;;;;;;;;;;;;;
23;CZ;103556;Weather  Shield Plus ex.deep  5 l;;Akzo Nobel Coatings CZ,as;5200633;8590627995817;;;;;;;;;;;;;;;
24;CZ;103557;Weather  Shield Plus light  10 l;;Akzo Nobel Coatings CZ,as;5200561;8590627995879;;;;;;;;;;;;;;;
25;CZ;103558;Weather  Shield Plus medium  10 l;;Akzo Nobel Coatings CZ,as;5200565;8590627994551;;;;;;;;;;;;;;;
26;CZ;105681;Luxol Original Str. Smrk  0,75 l;;Akzo Nobel Coatings CZ,as;5273945;8590627987195;;;;;;;;;;;;;;;
27;CZ;105682;Luxol Original Str. Smrk  2,5 l;;Akzo Nobel Coatings CZ,as;5273947;8590627987188;;;;;;;;;;;;;;;
28;CZ;105683;Luxol Original Fin. Boro.  0,75 l;;Akzo Nobel Coatings CZ,as;5273948;8590627987171;;;;;;;;;;;;;;;
29;CZ;105684;Luxol Original Fin. Boro.  2,5 l;;Akzo Nobel Coatings CZ,as;5273949;8590627987164;;;;;;;;;;;;;;;
30;CZ;105685;Luxol Original Vrba  0,75 l;;Akzo Nobel Coatings CZ,as;5273950;8590627987157;;;;;;;;;;;;;;;
31;CZ;105686;Luxol Original Vrba  2,5 l;;Akzo Nobel Coatings CZ,as;5273951;8590627987140;;;;;;;;;;;;;;;
32;CZ;105687;Luxol Original Osika  0,75 l;;Akzo Nobel Coatings CZ,as;5273952;8590627987133;;;;;;;;;;;;;;;
33;CZ;105688;Luxol Original Osika  2,5 l;;Akzo Nobel Coatings CZ,as;5273953;8590627987126;;;;;;;;;;;;;;;
34;CZ;105689;Luxol Original Platan  0,75 l;;Akzo Nobel Coatings CZ,as;5273955;8590627987119;;;;;;;;;;;;;;;
35;CZ;105690;Luxol Original Platan  2,5 l;;Akzo Nobel Coatings CZ,as;5273956;8590627987102;;;;;;;;;;;;;;;
36;CZ;108629;Dulux Easy Care Bílý mrak  2,5;;Akzo Nobel Coatings CZ,as;5273555;8590627987607;;;;;;;;;;;;;;;
37;CZ;108630;Dulux Easy Care Platina  2,5;;Akzo Nobel Coatings CZ,as;5273567;8590627987522;;;;;;;;;;;;;;;
38;CZ;108631;Dulux Easy Care Stříbrný  důl 2,5;;Akzo Nobel Coatings CZ,as;5273585;8590627987409;;;;;;;;;;;;;;;
39;CZ;108632;Dulux Easy Care Stmívání  2,5;;Akzo Nobel Coatings CZ,as;5273553;8590627987621;;;;;;;;;;;;;;;
40;CZ;108633;Dulux Easy Care Anglická  mlha 2,5;;Akzo Nobel Coatings CZ,as;5273540;8590627987720;;;;;;;;;;;;;;;
41;CZ;108634;Dulux Easy Care Alabastr  2,5;;Akzo Nobel Coatings CZ,as;5273541;8590627987713;;;;;;;;;;;;;;;
42;CZ;108635;Dulux Easy Care Smetanová  zmrzlina 2,5;;Akzo Nobel Coatings CZ,as;5273552;8590627987638;;;;;;;;;;;;;;;
43;CZ;108636;Dulux Easy Care Převážně  zataženo 2,5;;Akzo Nobel Coatings CZ,as;5273640;8590627987331;;;;;;;;;;;;;;;
