COUNTRY,SORT_ART_NR,ART_NAME,URL,Supplier,Suppl. Product code,EAN
SVK,1051341,Hadička flexi pro čerp. 500mm F1/2xF1/2,,Guvex,13651410050,8590391235232
SVK,1051952,Šrouby upenění umyvadla  8x120,,Guvex,12703111114,8590391236826
SVK,1051960,Šrouby k upevnění umyvadla  10x140,,Guvex,12703111128,8590391236833
SVK,1051978,Šrouby WC+bidet bílé  6x80mm,,Guvex,12703113103,8590391236857
SVK,3136264,Trubka     pozink.    2m                    1,,Guvex,103821,8590391103821
SVK,3136272,"Trubka     pozink.    0,5m                  1",,Guvex,103838,8590391103838
SVK,3136280,"Trubka     pozink.    0,5m                  3/4",,Guvex,103845,8590391103845
SVK,3136298,"Trubka     pozink.    0,5m                  1/2",,Guvex,103852,8590391103852
SVK,3136355,Trubka     pozink.    1m                    1/2,,Guvex,103975,8590391103975
SVK,3136363,Trubka     pozink.    1m                    3/4,,Guvex,103982,8590391103982
SVK,3136371,Trubka     pozink.    1m                    1,,Guvex,103999,8590391103999
SVK,3136397,Koleno     pozink.                          1/2,,Guvex,105030,8590391105030
SVK,3136405,Koleno     pozink.                          3/4,,Guvex,105047,8590391105047
SVK,3136413,Koleno     pozink.                1,,Guvex,105054,8590391105054
SVK,3136439,T-kus      pozink.                          1/2,,Guvex,105085,8590391105085
SVK,3136447,T-kus      pozink.                          3/4,,Guvex,105092,8590391105092
SVK,3136454,T-kus      pozink.                          1,,Guvex,105108,8590391105108
SVK,3136470,Vsuvka     pozink.                          3/4x1/2,,Guvex,105238,8590391105238
SVK,3136496,Nátrubek   pozink.                          1/2,,Guvex,105269,8590391105269
SVK,3136504,Nátrubek   pozink.                          3/4,,Guvex,105276,8590391105276
SVK,3136512,Nátrubek   pozink.                          1,,Guvex,105283,8590391105283
SVK,3136538,Vsuvka     pozink.                          1/2,,Guvex,105313,8590391105313
SVK,3136546,Vsuvka     pozink.                          ,,Guvex,105320,8590391105320
SVK,3136553,Vsuvka     pozink.                          1,,Guvex,105337,8590391105337
SVK,3136579,Strmen     opravný    16bar                 3/4,,Guvex,104682,8590391104682
SVK,3136603,Trubka     pozink.    2m                    1/2,,Guvex,104910,8590391104910
SVK,3136611,Trubka     pozink.    2m                    ,,Guvex,104927,8590391104927
SVK,3136637,Koleno     pozink.                          3/4,,Guvex,104996,8590391104996
SVK,3136694,Redukce    pozink.                          3/4x1/2,,Guvex,105184,8590391105184
SVK,3136728,Redukce    pozink.                          5/4x1,,Guvex,105214,8590391105214
SVK,3136744,Zátka      pozink.                          1/2,,Guvex,105368,8590391105368
SVK,3136751,Zátka      pozink.                          3/4,,Guvex,105375,8590391105375
SVK,3136793,Šroubení   pozink.                          3/4,,Guvex,105412,8590391105412
SVK,3136801,Šroubení   pozink.                          1,,Guvex,105429,8590391105429
SVK,3136827,Vsuvka     pozink.                          1x3/4,,Guvex,105580,8590391105580
SVK,3136942,Koleno     PPR        45                    25,,Guvex,180051,8590391180051
SVK,3136983,Nátrubek   PPR                              32,,Guvex,180242,8590391180242
SVK,3136991,Redukce    PPR        vni/vně               25x20,,Guvex,180259,8590391180259
SVK,3137023,Nátrubek   PPR        redukovaný            25x20,,Guvex,180280,8590391180280
SVK,3137064,Záslepka   PPR                              25,,Guvex,180358,8590391180358
SVK,3137098,Koleno     DG         PPR        MZV        20x3/4,,Guvex,180556,8590391180556
SVK,3137106,Koleno     DG         PPR        MZV        25x3/4,,Guvex,180570,8590391180570
SVK,3137114,Koleno     DG         PPR        MZV        32x1,,Guvex,180594,8590391180594
SVK,3137148,Koleno     DG         PPR        MZD        25x3/4,,Guvex,180631,8590391180631
SVK,3137155,Koleno     DG         PPR        MZD        32x1,,Guvex,180655,8590391180655
SVK,3137247,Koleno     PPR        90                    32,,Guvex,180099,8590391180099
SVK,3137262,T-kus      PPR                              25,,Guvex,180112,8590391180112
SVK,3137288,T-kus      PPR        redukovaný            25x20x25,,Guvex,180143,8590391180143
SVK,3137395,Přechod    PPR        DG         MZD        20x3/4,,Guvex,180495,8590391180495
SVK,3137429,T-kus      PPR        MZD                   25x1/2x25,,Guvex,180730,8590391180730
SVK,3137452,Nástěnka   PPR        MZD                   25x3/4,,Guvex,180808,8590391180808
SVK,3137619,Oblouk     Cu         90                    15,,Guvex,200223,8590391200223
SVK,3137627,Oblouk     Cu         90                    18,,Guvex,200230,8590391200230
SVK,3137635,Oblouk     Cu         90                    22,,Guvex,200247,8590391200247
SVK,3137676,T-kus      Cu                               15,,Guvex,200667,8590391200667
SVK,3137684,T-kus      Cu                               18,,Guvex,200674,8590391200674
SVK,3137692,T-kus      Cu                               22,,Guvex,200681,8590391200681
SVK,3137791,Příchytka  PPR        jednoduchá            25,,Guvex,180952,8590391180952
SVK,3137809,Příchytka  PPR        dvojitá               2x20,,Guvex,180969,8590391180969
SVK,3137965,Koleno     Cu         90                    15,,Guvex,200520,8590391200520
SVK,3137973,Koleno     Cu         90                    18,,Guvex,200537,8590391200537
SVK,3137981,Koleno     Cu         90                    22,,Guvex,200544,8590391200544
SVK,3138088,Nátrubek   Cu                               22,,Guvex,201046,8590391201046
SVK,3138120,Přechod    Cu         4243G                 15-1/2,,Guvex,201213,8590391201213
SVK,3138179,Přechod    Cu         4243G                 22-3/4,,Guvex,201268,8590391201268
SVK,3138278,Přechodka  Pex-Al     vnější                1/2x16,,Guvex,205150,8590391205150
SVK,3138450,T-kus      Pex-Al                           16x16x16,,Guvex,205259,8590391205259
SVK,3138674,Křížení    PPR        PN20                  20,,Guvex,206843,8590391206843
SVK,3138740,Trubka     Pex-Al                           20x2,,Guvex,205129,8590391205129
SVK,3146388,Objímka    trubky     dvoušroub  40-46      5/4,,Guvex,101063,8590391101063
SVK,3146396,Objímka    trubky     dvoušroub  48-53      6/4,,Guvex,101070,8590391101070
SVK,3146495,Prodloužen koupelnové            3/4 x 1/2  75mm,,Guvex,140642,8590391140642
SVK,3146503,Prodloužen koupelnové            3/4 x 1/2  95mm,,Guvex,140659,8590391140659
SVK,3146529,Objímka    trubky     jednošroub 20-23      1/2,,Guvex,101162,8590391101162
SVK,3146537,Objímka    trubky     jednošroub 25-30      3/4,,Guvex,101179,8590391101179
SVK,3146545,Objímka    trubky     jednošroub 31-38      1,,Guvex,101186,8590391101186
SVK,3146552,Šroub      kombi      2ks                   M8 x 80,,Guvex,101216,8590391101216
SVK,3205184,Šroubení   Cu                               15-1/2,,Guvex,201299,8590391201299
SVK,3220639,Šroubení   mosaz      přímé                 1,,Guvex,1 PŘÍMÉ,8590391207154
SVK,3313566,Třmen      opravný    16bar                 1,,Guvex,210413,8590391210413
SVK,3538881,Hadice     Flexi      Nerez       1/2x1/2x50,,Guvex,102435,8590391102435
SVK,3538899,Hadice     Flexi      Nerez       1/2x1/2x50,,Guvex,102442,8590391102442
SVK,3538956,Hadice     Flexi      Nerez       3/8x1/2x30,,Guvex,102589,8590391102589
SVK,3538964,Hadice     Flexi      Nerez       1/2x1/2x30,,Guvex,102596,8590391102596
SVK,3538972,Hadice     Flexi      Nerez       3/8x3/8x30,,Guvex,102619,8590391102619
SVK,3538998,Hadice     Flexi      Nerez       1/2x1/2x30,,Guvex,102640,8590391102640
SVK,3539111,Objímka    dvoušroub.                       72-78,,Guvex,101117,8590391101117
SVK,3539186,Hadice     Flexi      Nerez       1/2x1/2x40,,Guvex,102411,8590391102411
SVK,3539210,Hadice     pračková   napušťov.   1m,,Guvex,102718,8590391102718
SVK,3539269,"Hadice     pračková   napušťov.   3,5m",,Guvex,102763,8590391102763
SVK,3539319,Hadice     pračková   vypušťov.   3m B,,Guvex,102893,8590391102893
SVK,3540085,Vršek      baterie                          3/8,,Guvex,110508,8590391110508
SVK,3540143,Perlátor   vnitřní    Závit       2653 F24,,Guvex,110683,8590391110683
SVK,3540242,Kohout     průběžný   KE 83T                1/2,,Guvex,110058,8590391110058
SVK,3540275,Mosaz      Prodlouž.                        3/4 x 30,,Guvex,110171,8590391110171
SVK,3540499,Spona      nerez                            10 - 16 mm,,Guvex,120040,8590391120040
SVK,3540507,Spona      nerez                            12 - 20 mm,,Guvex,120057,8590391120057
SVK,3540523,Spona      nerez                            20 - 32 mm,,Guvex,120071,8590391120071
SVK,3540531,Spona      nerez                            25 - 40 mm,,Guvex,120088,8590391120088
SVK,3540549,Spona      nerez                            32 - 50 mm,,Guvex,120095,8590391120095
SVK,3540812,Spona      nerez                            50 - 70 mm,,Guvex,120101,8590391120101
SVK,3540879,Hadice     Plast      K WC        3/8x1/2x50,,Guvex,120217,8590391120217
SVK,3541018,Spojka     Plast. Y   3/4x3/4,,Guvex,140673,8590391140673
SVK,3541059,Prodlouž.                         1/2 x 10,,Guvex,140871,8590391140871
SVK,3541067,Prodlouž.                         1/2 x 20,,Guvex,140888,8590391140888
SVK,3541075,Mosaz      Vsuvka     Reduk.                1/2x3/8,,Guvex,140901,8590391140901
SVK,3541083,Mosaz      Vsuvka     Reduk.                3/4x3/8,,Guvex,140918,8590391140918
SVK,3541109,Mosaz      Vsuvka                           3/8,,Guvex,140932,8590391140932
SVK,3541166,Odbočka Y                         1/2x1/2,,Guvex,141076,8590391141076
SVK,3541208,Mosaz      Nátrubek                         1/2,,Guvex,141342,8590391141342
SVK,3541216,Mosaz      Nátrubek                         3/4,,Guvex,141359,8590391141359
SVK,3541224,Mosaz      Nátrubek                         1,,Guvex,141366,8590391141366
SVK,3541240,Mosaz      Nátrubek   Reduk.                3/4x1/2,,Guvex,141380,8590391141380
SVK,3541273,Mosaz      Redukce                          1 x 3/4,,Guvex,141410,8590391141410
SVK,3541281,Spojka     PE         mosaz      potrubí     1x32,,Guvex,140703,8590391140703
SVK,3541315,Spojka     PE         mosaz      potrubí    1x32,,Guvex,140734,8590391140734
