;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. Product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
2;CZ;1054022;Hadička flexi pro čerp. 500mm F1/2xF1/2;;Guvex;13651410050;8590391235232;Hornbach;4298199;;"Flexibilní hadice M1/2""xM1/2"" 50 cm nerez";51;51;;1;;2;;;;;
4;CZ;1054030;Šrouby upenění umyvadla  8x120;;Guvex;12703111114;8590391236826;Hornbach;5011025;;Šrouby k uchycení umyvadla 2 ks 10x120 mm;27;27;;1;;1;;;;;
6;CZ;1054048;Šrouby k upevnění umyvadla  10x140;;Guvex;12703111128;8590391236833;Hornbach;7482067;;Šrouby k uchycení malých umyvadel 2 ks 8x120 mm;34;34;;1;;2;;;;;
8;CZ;1054055;Šrouby WC+bidet bílé  6x80mm;;Guvex;12703113103;8590391236857;Hornbach;7482066;;Souprava nerezových šroubů na upevnění WC a bidetů 6x80 mm bílá;37;37;;1;;2;;;;;
10;CZ;3136264;Trubka     pozink.    2m                    1;;Guvex;103821;8590391103821;Hornbach;4283421;;"Trubka pozink 1"" 2 m";368;368;328.7;1;;1;;;;;
12;CZ;3136272;Trubka     pozink.    0,5m                  1;;Guvex;103838;8590391103838;Hornbach;4283422;;"Trubka pozink 1"" 0,5 m";121;121;108.9;1;;1;;;;;
14;CZ;3136280;Trubka     pozink.    0,5m                  3/4;;Guvex;103845;8590391103845;Hornbach;4283423;;"Trubka pozink 3/4"" 0,5 m";88;88;78.9;1;;1;;;;;
16;CZ;3136298;Trubka     pozink.    0,5m                  1/2;;Guvex;103852;8590391103852;Hornbach;4283424;;"Trubka pozink 1/2"" 0,5 m";81;81;72.9;1;;1;;;;;
18;CZ;3136355;Trubka     pozink.    1m                    1/2;;Guvex;103975;8590391103975;Hornbach;4281107;;"Trubka pozink 1/2"" 1 m";130;130;116.9;1;;1;;;;;
20;CZ;3136363;Trubka     pozink.    1m                    3/4;;Guvex;103982;8590391103982;Hornbach;4281108;;"Trubka pozink 3/4"" 1 m";134;134;120.9;1;;1;;;;;
22;CZ;3136371;Trubka     pozink.    1m                    1;;Guvex;103999;8590391103999;Hornbach;4279709;;"Trubka pozink 1"" 1 m";200;200;179.8;1;;1;;;;;
24;CZ;3136397;Koleno     pozink.                          1/2;;Guvex;105030;8590391105030;Hornbach;4279720;;"Koleno č.92, 1/2"" pozink";15;15;;1;;1;;;;;
26;CZ;3136405;Koleno     pozink.                          3/4;;Guvex;105047;8590391105047;Hornbach;4279721;;"Koleno č.92, 3/4"" pozink";20;20;;1;;1;;;;;
28;CZ;3136413;Koleno     pozink.                1;;Guvex;105054;8590391105054;Hornbach;4279722;;"Koleno č.92, 1"" pozink";32;32;;1;;1;;;;;
30;CZ;3136439;T-kus      pozink.                          1/2;;Guvex;105085;8590391105085;Hornbach;4281111;;"Odbočka T 130, 1/2"" pozink";17;17;;1;;1;;;;;
32;CZ;3136447;T-kus      pozink.                          3/4;;Guvex;105092;8590391105092;Hornbach;4281112;;"Odbočka T 130, 3/4"" pozink";26;26;;1;;1;;;;;
34;CZ;3136454;T-kus      pozink.                          1;;Guvex;105108;8590391105108;Hornbach;4279724;;"OdbočkaT 130, 1"" pozink";42;42;;1;;1;;;;;
36;CZ;3136470;Vsuvka     pozink.                          3/4x1/2;;Guvex;105238;8590391105238;Hornbach;4281125;;"Redukční vsuvka č.254, 3/4""-1/2"" pozink";20;20;;1;;1;;;;;
38;CZ;3136496;Nátrubek   pozink.                          1/2;;Guvex;105269;8590391105269;Hornbach;4281128;;"Nátrubek č.270, 1/2"" pozink";14;14;;1;;1;;;;;
40;CZ;3136504;Nátrubek   pozink.                          3/4;;Guvex;105276;8590391105276;Hornbach;4281129;;"Nátrubek č.270, 3/4"" pozink";16;16;;1;;1;;;;;
42;CZ;3136512;Nátrubek   pozink.                          1;;Guvex;105283;8590391105283;Hornbach;4279725;;"Nátrubek č.270, 1"" pozink";25;25;;1;;1;;;;;
44;CZ;3136538;Vsuvka     pozink.                          1/2;;Guvex;105313;8590391105313;Hornbach;4279727;;"Vsuvka č.280, 1/2"" pozink";14;14;;1;;1;;;;;
46;CZ;3136546;Vsuvka     pozink.                          ;;Guvex;105320;8590391105320;Hornbach;4279728;;"Vsuvka č.280, 3/4"" pozink";16;16;;1;;1;;;;;
48;CZ;3136553;Vsuvka     pozink.                          1;;Guvex;105337;8590391105337;Hornbach;4279729;;"Vsuvka č.280, 1"" pozink";21;21;;1;;1;;;;;
50;CZ;3136579;Strmen     opravný    16bar                 3/4;;Guvex;104682;8590391104682;Hornbach;4271080;;"Opravná objímka 3/4"" 16 bar";239;239;;1;;1;;;;;
52;CZ;3136603;Trubka     pozink.    2m                    1/2;;Guvex;104910;8590391104910;Hornbach;4283425;;"Trubka pozink 1/2"" 2 m";243;243;218.8;1;;1;;;;;
