;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. Product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
2;CZ;110796;LED CLSCANDLE 4W;;EMOS spol. s r.o.;1525731200;8592920044988;;;;;;;;;;;;;;;
3;CZ;110797;LED CLSCANDLE 4W;;EMOS spol. s r.o.;1525731400;8592920045015;;;;;;;;;;;;;;;
4;CZ;110799;LED CLSA60 9W E27;;EMOS spol. s r.o.;1525733201;8592920044452;;;;;;;;;;;;;;;
5;CZ;112294;ŽárovkaLED FLM;;EMOS spol. s r.o.;1525281210;8592920016718;;;;;;;;;;;;;;;
6;CZ;112295;ŽárovkaLED FLM;;EMOS spol. s r.o.;1525283210;8592920016749;;;;;;;;;;;;;;;
7;CZ;112296;ŽárovkaLED FLM;;EMOS spol. s r.o.;1525283230;8592920030554;;;;;;;;;;;;;;;
8;CZ;112297;ŽárovkaLED FLM;;EMOS spol. s r.o.;1525283240;8592920030585;;;;;;;;;;;;;;;
9;CZ;112303;ŽárovkaLED PREM;;EMOS spol. s r.o.;1525660200;8592920029510;;;;;;;;;;;;;;;
10;CZ;112313;ŽárovkaLED PREM;;EMOS spol. s r.o.;1525653200;8592920029480;;;;;;;;;;;;;;;
11;CZ;115567;LEDŽÁROVKACANDLE A++;;EMOS spol. s r.o.;1525281204;8592920044926;;;;;;;;;;;;;;;
12;CZ;115568;LEDŽÁROVKAMINI GLNW;;EMOS spol. s r.o.;1525281211;8592920045220;;;;;;;;;;;;;;;
13;CZ;115569;LEDŽÁROVKAMINI GLNW;;EMOS spol. s r.o.;1525283211;8592920045282;;;;;;;;;;;;;;;
14;CZ;115570;LEDŽÁROVKAA60 A++ 6W;;EMOS spol. s r.o.;1525283232;8592920044247;;;;;;;;;;;;;;;
15;CZ;115571;LEDŽÁROVKAA60 A++;;EMOS spol. s r.o.;1525283241;8592920044278;;;;;;;;;;;;;;;
16;CZ;115574;LEDŽÁROVKAMR16 4,5W;;EMOS spol. s r.o.;1525730200;8592920045916;;;;;;;;;;;;;;;
17;CZ;115575;LEDŽÁROVKAMR16 4,5W;;EMOS spol. s r.o.;1525730201;8592920045947;;;;;;;;;;;;;;;
18;CZ;115576;LEDŽÁROVKAMR16 4,5W;;EMOS spol. s r.o.;1525730400;8592920045978;;;;;;;;;;;;;;;
19;CZ;115577;LEDŽÁROVKAMR16 4,5W;;EMOS spol. s r.o.;1525730100;8592920046005;;;;;;;;;;;;;;;
20;CZ;115578;LEDŽÁROVKAMR16 8W;;EMOS spol. s r.o.;1525730203;8592920046098;;;;;;;;;;;;;;;
21;CZ;115579;LEDŽÁROVKAMR16 8W;;EMOS spol. s r.o.;1525730402;8592920046128;;;;;;;;;;;;;;;
22;CZ;115580;LEDŽÁROVKAMR16 8W;;EMOS spol. s r.o.;1525730101;8592920046159;;;;;;;;;;;;;;;
23;CZ;115582;LEDŽÁROVKACANDLE 6W;;EMOS spol. s r.o.;1525731201;8592920045107;;;;;;;;;;;;;;;
24;CZ;115583;LEDŽÁROVKACANDLE 6W;;EMOS spol. s r.o.;1525731401;8592920045138;;;;;;;;;;;;;;;
25;CZ;115584;LEDŽÁROVKAMINI GL 4W;;EMOS spol. s r.o.;1525731202;8592920045343;;;;;;;;;;;;;;;
26;CZ;115585;LEDŽÁROVKAMINI GL 4W;;EMOS spol. s r.o.;1525731402;8592920045374;;;;;;;;;;;;;;;
27;CZ;115586;LEDŽÁROVKAMINI GL 6W;;EMOS spol. s r.o.;1525731203;8592920045466;;;;;;;;;;;;;;;
28;CZ;115587;LEDŽÁROVKAMINI GL 6W;;EMOS spol. s r.o.;1525731403;8592920045527;;;;;;;;;;;;;;;
29;CZ;115588;LEDŽÁROVKAR50 6W E14;;EMOS spol. s r.o.;1525731204;8592920045794;;;;;;;;;;;;;;;
30;CZ;115589;LEDŽÁROVKAR50 6W E14;;EMOS spol. s r.o.;1525731404;8592920045824;;;;;;;;;;;;;;;
31;CZ;115737;LEDžárovkaMINI GL 4W;;EMOS spol. s r.o.;1525733207;8592920045404;;;;;;;;;;;;;;;
